campaign_id,campaign_name,platform,ad_type,start_date,end_date,status,total_budget,daily_budget,impressions,clicks,ctr,cpc,conversions,conversion_rate,cost_per_conversion,targeting_method,age_range,gender_targeting,total_spent,roas
1,Sharable bifurcated algorithm Site Ad Campaign,Snapchat,Influencer,2024-11-08,2025-01-06,Active,21419.97,1127.37,85715,3488,0.0407,4.25,461,0.1322,32.16,Custom Audience,45-54,Male,14824.0,2.42
2,User-centric bi-directional service-desk Sit Ad Campaign,Twitter,Retargeting,2025-06-22,2025-06-25,Scheduled,5826.81,647.42,744,75,0.1008,3.3,1,0.0133,247.5,Interest-based,25-54,Male,247.5,1.62
3,Optimized 5thgeneration algorithm Better Ad Campaign,LinkedIn,Social,2024-10-19,2025-03-12,Completed,8831.4,294.38,19869,4234,0.2131,4.96,469,0.1108,44.78,Demographic,45-54,All,21000.64,2.64
4,Assimilated next generation customer loyalty Sense Ad Campaign,Instagram,Banner,2025-03-25,2025-06-03,Scheduled,24982.68,2498.27,363,61,0.168,2.96,8,0.1311,22.57,Demographic,18-34,Male,180.56,7.6
5,Face-to-face local parallelism Fall Ad Campaign,Twitter,Social,2025-05-23,2025-05-23,Draft,14699.65,979.98,691,87,0.1259,1.45,3,0.0345,42.05,Demographic,25-54,Male,126.15,4.3
6,Diverse tangible interface Grow Ad Campaign,TikTok,Social,2024-11-09,2025-01-05,Paused,4749.02,158.3,454,87,0.1916,1.48,0,0.0,0.0,Behavioral,45-54,All,128.76,0.0
7,Virtual global benchmark Best Ad Campaign,Snapchat,Retargeting,2024-12-17,2025-03-08,Completed,3340.88,222.73,80932,672,0.0083,2.88,27,0.0402,71.68,Demographic,55+,Female,1935.36,2.25
8,Monitored real-time firmware Surface Ad Campaign,TikTok,Search,2024-08-15,2025-01-23,Draft,6760.7,241.45,116,55,0.4741,3.25,6,0.1091,29.79,Interest-based,45-54,Female,178.75,1.73
9,Decentralized homogeneous artificial intelligence Old Ad Campaign,Twitter,Influencer,2024-11-15,2025-04-26,Paused,11395.2,569.76,404,38,0.0941,2.39,1,0.0263,90.82,Geographic,25-54,Female,90.82,2.76
10,Multi-lateral object-oriented core Sea Ad Campaign,LinkedIn,Retargeting,2024-08-25,2025-04-07,Draft,19548.88,2792.7,596,58,0.0973,2.93,5,0.0862,33.99,Interest-based,45-54,Female,169.94,6.71
11,Visionary explicit artificial intelligence Top Ad Campaign,Facebook,Search,2024-10-24,2024-11-21,Scheduled,23820.54,1701.47,99,9,0.0909,2.64,9,1.0,2.64,Lookalike,18-24,Female,23.76,4.98
12,Grass-roots logistical productivity They Ad Campaign,YouTube,Social,2024-12-11,2025-03-07,Scheduled,20869.94,1227.64,497,56,0.1127,4.67,10,0.1786,26.15,Custom Audience,18-34,Non-binary,261.52,2.17
13,Expanded static flexibility Science Ad Campaign,Snapchat,Social,2025-07-08,2025-07-23,Scheduled,1125.55,80.4,70,50,0.7143,1.29,1,0.02,64.5,Behavioral,25-34,All,64.5,3.52
14,Robust scalable concept None Ad Campaign,TikTok,Display,2025-04-23,2025-05-09,Active,18543.99,883.05,97829,4090,0.0418,1.36,423,0.1034,13.15,Behavioral,25-34,All,5562.4,6.22
15,Multi-tiered encompassing productivity Rise Ad Campaign,Snapchat,Banner,2025-02-19,2025-06-10,Paused,1135.69,141.96,799,95,0.1189,2.16,0,0.0,0.0,Interest-based,35-44,Male,205.2,0.0
16,Visionary zero-defect approach Drop Ad Campaign,Facebook,Native,2025-05-27,2025-07-19,Draft,2675.63,111.48,760,69,0.0908,4.4,2,0.029,151.8,Demographic,35-44,All,303.6,2.36
17,Open-architected encompassing architecture Development Ad Campaign,Snapchat,Native,2025-06-30,2025-07-18,Scheduled,6906.95,265.65,632,31,0.0491,0.83,0,0.0,0.0,Interest-based,25-34,Female,25.73,0.0
18,Universal foreground data-warehouse Reality Ad Campaign,Facebook,Display,2025-01-29,2025-07-10,Completed,6191.05,412.74,27441,3477,0.1267,1.95,479,0.1378,14.15,Geographic,18-34,Male,6780.15,2.6
19,Stand-alone logistical circuit Evidence Ad Campaign,YouTube,Video,2024-09-20,2025-05-12,Draft,5534.7,553.47,565,49,0.0867,1.67,2,0.0408,40.91,Geographic,18-34,Female,81.83,1.84
20,Public-key empowering synergy Pattern Ad Campaign,Snapchat,Search,2025-01-03,2025-05-05,Active,10665.33,533.27,84889,2236,0.0263,2.83,308,0.1377,20.55,Custom Audience,55+,All,6327.88,5.2
